"date","close","volume","open","high","low"

"2019/03/15","186.1200","39017490.0000","184.8500","187.3300","183.7400"
"2019/03/14","183.7300","23527660.0000","183.9000","184.1000","182.5600"
"2019/03/13","181.7100","30929740.0000","182.2500","183.3000","180.9200"
"2019/03/12","180.9100","32416800.0000","180.0000","182.6700","179.3700"
"2019/03/11","178.9000","31123000.0000","175.4900","179.1200","175.3500"
"2019/03/08","172.9100","23985960.0000","170.3200","173.0700","169.5000"
"2019/03/07","172.5000","24755470.0000","173.8700","174.4400","172.0200"
"2019/03/06","174.5200","20755140.0000","174.6700","175.4900","173.9400"
"2019/03/05","175.5300","19238480.0000","175.9400","176.0000","174.5400"
"2019/03/04","175.8500","27413060.0000","175.6900","177.7500","173.9700"
"2019/03/01","174.9700","25737560.0000","174.2800","175.1500","172.8900"
"2019/02/28","173.1500","27953810.0000","174.3200","174.9100","172.9200"
"2019/02/27","174.8700","27817640.0000","173.2100","175.0000","172.7300"
"2019/02/26","174.3300","16991610.0000","173.7100","175.3000","173.1732"
"2019/02/25","174.2300","21846400.0000","174.1600","175.8700","173.9500"
"2019/02/22","172.9700","18890250.0000","171.5800","173.0000","171.3800"
"2019/02/21","171.0600","17154540.0000","171.8000","172.3700","170.3000"
"2019/02/20","172.0300","25323890.0000","171.1900","173.3200","170.9900"
"2019/02/19","170.9300","18958570.0000","169.7100","171.4400","169.4900"
"2019/02/15","170.4200","24603320.0000","171.2500","171.7000","169.7500"
"2019/02/14","170.8000","21785180.0000","169.7100","171.2615","169.3800"
"2019/02/13","170.1800","22389660.0000","171.3900","172.4800","169.9200"
"2019/02/12","170.8900","22224400.0000","170.1000","171.0000","169.7000"
"2019/02/11","169.4300","20940020.0000","171.0500","171.2100","169.2500"
"2019/02/08","170.4100","23793830.0000","168.9900","170.6600","168.4200"
"2019/02/07","170.9400","31644240.0000","172.4000","173.9400","170.3400"
"2019/02/06","174.2400","28204640.0000","174.6500","175.5700","172.8531"
"2019/02/05","174.1800","36054570.0000","172.8600","175.0800","172.3501"
"2019/02/04","171.2500","31384720.0000","167.4100","171.6550","167.2800"
"2019/02/01","166.5200","32644590.0000","166.9600","168.9800","165.9300"
"2019/01/31","166.4400","40613260.0000","166.1100","169.0000","164.5600"
"2019/01/30","165.2500","60800480.0000","163.2500","166.1500","160.2300"
"2019/01/29","154.6800","39914850.0000","156.2500","158.1300","154.1100"
"2019/01/28","156.3000","26147280.0000","155.7900","156.3300","153.6600"
"2019/01/25","157.7600","33508960.0000","155.4800","158.1300","154.3200"
"2019/01/24","152.7000","25418110.0000","154.1100","154.4800","151.7400"
"2019/01/23","153.9200","23046560.0000","154.1500","155.1400","151.7000"
"2019/01/22","153.3000","30273990.0000","156.4100","156.7300","152.6200"
"2019/01/18","156.8200","33259460.0000","157.5000","157.8800","155.9806"
"2019/01/17","155.8600","29616190.0000","154.2000","157.6600","153.2600"
"2019/01/16","154.9400","30483120.0000","153.0800","155.8800","153.0000"
"2019/01/15","153.0700","28449940.0000","150.2700","153.3900","150.0500"
"2019/01/14","150.0000","32018540.0000","150.8500","151.2700","149.2200"
"2019/01/11","152.2900","26924630.0000","152.8800","153.7000","151.5100"
"2019/01/10","153.8000","35661200.0000","152.5000","153.9700","150.8600"
"2019/01/09","153.3100","45034370.0000","151.2900","154.5300","149.6300"
"2019/01/08","150.7500","40622910.0000","149.5600","151.8200","148.5200"
"2019/01/07","147.9300","54571440.0000","148.7000","148.8300","145.9000"
"2019/01/04","148.2600","57423650.0000","144.5300","148.5499","143.8000"
"2019/01/03","142.1900","91106840.0000","143.9800","145.7200","142.0000"
"2019/01/02","157.9200","35637070.0000","154.8900","158.8500","154.2300"
"2018/12/31","157.7400","34499390.0000","158.5300","159.3600","156.4800"
"2018/12/28","156.2300","41740600.0000","157.5000","158.5200","154.5500"
"2018/12/27","156.1500","51608850.0000","155.8400","156.7700","150.0700"
"2018/12/26","157.1700","58133850.0000","148.3000","157.2300","146.7200"
"2018/12/24","146.8300","37169230.0000","148.1500","151.5500","146.5900"
"2018/12/21","150.7300","95497900.0000","156.8600","158.1600","149.6300"
"2018/12/20","156.8300","64398230.0000","160.4000","162.1100","155.3000"
"2018/12/19","160.8900","47597670.0000","166.0000","167.4500","159.0900"
"2018/12/18","166.0700","33753490.0000","165.3800","167.5300","164.3900"
"2018/12/17","163.9400","43250420.0000","165.4500","168.3500","162.7300"
